index_gen,index_ind,htg_sp,clg_sp,wwr,insulation_thickness,carbon_emissons,discomfort_hours
1,1,21.5,23,0.231165019050241,0.404488552324474,258297.1374,1240.33
1,2,19,24,0.255391657352448,0.427864323966205,231625.8183,2444
1,3,22,23,0.516641349112615,0.382031027339399,297895.1146,1167.5
1,4,19,27,0.364542065002024,0.423978529740487,225155.1477,3719.67
1,5,20.5,24,0.273127668071538,0.314695544455397,241705.9169,2148.17
1,6,21,27,0.364542065002024,0.314950625747442,233734.6345,3313
1,7,19.5,24,0.358892861893401,0.484411304742098,240725.615,2581.83
1,8,22,25.5,0.647268283832818,0.365521942339838,275100.116,1882.83
1,9,22,26.5,0.402634845348075,0.34862825281918,245532.8608,2165.17
1,10,18,23.5,0.273127668071538,0.0974869205057621,238499.2543,2746.83
1,11,20.5,25.5,0.355733802878966,0.105302534811199,244120.7899,2368.83
1,12,21.5,25,0.629229954630137,0.0552349292486906,284895.3754,2152.17
1,13,19,26.5,0.567353713326156,0.273475983478129,240146.1755,3714.5
1,14,20.5,23,0.266203146770611,0.252614686116896,252130.0738,2248.5
1,15,21,23,0.571372345753507,0.427864323966205,287109.1128,2091.5
1,16,19.5,24,0.358892861893401,0.428553522730037,241037.0894,2586.17
1,17,18,24,0.492750313568936,0.354558338430213,243419.1907,2842.33
1,18,22,26.5,0.402634845348075,0.0974869205057621,253277.2152,2295.83
1,19,21,23,0.660872993377464,0.421617028187589,297369.2827,2159.33
1,20,20.5,24,0.551550251947709,0.347275858059019,265749.5617,2357.67
2,1,22,23,0.516641349112615,0.382031027339399,297895.1146,1167.5
2,2,20.5,24,0.273127668071538,0.314695544455397,241705.9169,2148.17
2,3,19,26.5,0.255391657352448,0.427864323966205,221427.2813,3110.33
2,4,21,25.5,0.402620949600544,0.488815244107211,243664.6034,2050.33
2,5,18,26.5,0.251977441942484,0.421892523080469,219562.5767,3117.17
2,6,19,25.5,0.231165019050241,0.105302534811199,229555.623,2358.67
2,7,21.5,24,0.224895167187309,0.427864323966205,244709.0232,1214.67
